;Movie name;Rating;IMDb name;genre;IMDb rating count;IMDb rating;metascore;year;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;History;Horror;Music;Musical;Mystery;PG;R;Romance;Sport;Thriller;War;Western
0;Spirited away ;10.0;Spirited Away ;Animation,Adventure,Family,Fantasy,Mystery;531713;8.6;96.0;2001.0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
1;Bajrangi bhaijaan ;9.8;Bajrangi Bhaijaan ;Action,Comedy,Drama;60590;8.0;;2015.0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Princess mononoke ;9.5;Princess Mononoke ;Animation,Adventure,Fantasy;281780;8.4;76.0;1997.0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
3;V for vendetta ;9.5;V for Vendetta ;Action,Drama,Thriller;927116;8.2;62.0;2005.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
4;Sicario ;9.5;Sicario ;Action,Crime,Drama,Mystery,Thriller;312191;7.6;82.0;2015.0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
5;Shutter island ;9.5;Shutter Island ;Mystery,Thriller;966063;8.1;63.0;2010.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
6;The usual suspects ;9.4;The Usual Suspects ;Crime,Mystery,Thriller;876372;8.6;77.0;1995.0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
7;Memento ;9.4;Memento ;Mystery,Thriller;1000821;8.5;80.0;2000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
8;Arrival ;9.4;Arrival ;Drama,Mystery,Thriller;480539;7.9;81.0;2016.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
9;Ghost in the shell ;9.3;Ghost in the Shell ;Action,Drama,Thriller;164550;6.4;52.0;2017.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
10;Your name (kimi no na wa) ;9.3;Kimi no na wa. ;Animation,Drama,Fantasy,Romance;114041;8.4;79.0;2016.0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
11;Wolf children ;9.3;Ookami kodomo no Ame to Yuki ;Animation,Drama,Family,Fantasy;29123;8.2;71.0;2012.0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
12;Mulan;9.3;Mulan ;Animation,Adventure,Family,Fantasy,Musical,War;212425;7.6;71.0;1998.0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0
13;Tamasha ;9.0;Tamasha ;Comedy,Drama,Romance;18846;7.2;;2015.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14;Birdman ;9.0;Birdman or ;Comedy,Drama;497314;7.7;88.0;;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Donnie darko ;9.0;Donnie Darko ;Drama,Thriller;680492;8.1;88.0;2001.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16;John Wick 2 ;9.0;John Wick: Chapter 2 ;Action,Crime,Thriller;249716;7.5;75.0;2017.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
17;Blade runner 2049 ;9.0;Blade Runner 2049 ;Drama,Mystery,Thriller;345404;8.0;81.0;2017.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
18;The Godfather ;9.0;The Godfather ;Crime,Drama;1384307;9.2;100.0;1972.0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;The hateful eight ;8.9;The Hateful Eight ;Crime,Drama,Mystery,Thriller,Western;410300;7.8;68.0;2015.0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1
20;Deadpool ;8.8;Deadpool ;Action,Adventure,Comedy;777090;8.0;65.0;2016.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Summer wars;8.8;Samâ uôzu ;Animation,Action,Comedy,Drama,Family,Romance,Thriller;21588;7.5;63.0;2009.0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0
22;Baby driver ;8.8;Baby Driver ;Action,Crime,Drama,Music,Thriller;334348;7.6;86.0;2017.0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
23;Dunkirk ;8.8;Dunkirk ;Action,Drama,History,Thriller,War;430341;7.9;94.0;2017.0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0
24;Coco;8.8;Coco ;Animation,Adventure,Comedy,Family,Fantasy,Music,Mystery;237001;8.4;81.0;2017.0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
25;Oh my god ;8.7;OMG: Oh My God! ;Comedy,Drama,Fantasy;41629;8.2;;2012.0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
26;Reservoir dogs ;8.7;Reservoir Dogs ;Crime,Drama,Thriller;794217;8.3;79.0;1992.0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
